time,sigma1,sigma1_noise
00:00:00,20.904789654552648,21.311563293529407
00:00:00.010000,18.733875650983745,19.920732875397142
00:00:00.020000,18.643410378302807,21.146321595560565
00:00:00.030000,21.034771420307962,20.21239795162307
00:00:00.040000,20.010240192207597,20.443971005676843
00:00:00.050000,20.017629099947044,21.45358111383079
00:00:00.060000,19.972270813047352,18.6172467411154
00:00:00.070000,19.20690517476301,20.07937416699214
00:00:00.080000,19.69018434720221,20.02714787804921
00:00:00.090000,20.868121489420194,19.832589863527357
00:00:00.100000,22.054823136932377,19.025868642794556
00:00:00.110000,19.34674349414715,21.452544387332516
00:00:00.120000,20.58238281658836,20.482119944409675
00:00:00.130000,20.483508039625857,20.176759682475804
00:00:00.140000,19.329555002126156,19.097084052853987
00:00:00.150000,21.14898915674319,19.634157354397782
00:00:00.160000,20.488080203190734,21.180740403244663
00:00:00.170000,20.487060314725568,18.58442439566572
00:00:00.180000,19.278038558079537,17.586842695332184
00:00:00.190000,20.223921938786184,18.752704206530463
00:00:00.200000,19.667386651668416,18.411521290284234
00:00:00.210000,19.18006920314535,20.374114297456874
00:00:00.220000,19.363743959720814,22.83118211950225
00:00:00.230000,20.9383931890892,21.294811708747105
00:00:00.240000,18.967637407437028,20.576263764130875
00:00:00.250000,20.14032005909556,20.365507897124154
00:00:00.260000,19.288952691659276,19.344802008769307
00:00:00.270000,20.819475031713036,18.72248798869137
00:00:00.280000,22.072347880002493,19.60598263087788
00:00:00.290000,21.35001219929038,19.750598842038332
00:00:00.300000,21.45849960905888,18.514192152034923
00:00:00.310000,21.421768771733298,20.724753555999996
00:00:00.320000,20.857644392614112,19.76364539517345
00:00:00.330000,19.967027401099543,20.95674707059493
00:00:00.340000,20.677186115081994,21.31523244080318
00:00:00.350000,21.58077058674665,19.522192733512338
00:00:00.360000,20.531043424924427,19.595755589666453
00:00:00.370000,20.500101958520666,19.26214055799427
00:00:00.380000,20.650437063638208,18.787668914462408
00:00:00.390000,19.895148072869272,19.95397040739077
00:00:00.400000,20.08590690317438,21.197067572322183
00:00:00.410000,20.648479131403242,20.543288927125563
00:00:00.420000,18.95355009405872,20.400452419908078
00:00:00.430000,20.40208467892712,20.226811005809925
00:00:00.440000,19.112010757392657,19.882299446766055
00:00:00.450000,20.453022417597516,20.272866065528905
00:00:00.460000,20.42481972264101,20.193474515009257
00:00:00.470000,17.94922855990909,19.2709617874791
00:00:00.480000,21.90288987536653,19.20863843618704
00:00:00.490000,20.902089585500654,19.96383596031774
00:00:00.500000,19.913242369494345,19.856558077225884
00:00:00.510000,18.427172279188422,19.18032449749412
00:00:00.520000,19.556123357988184,19.848848859928328
00:00:00.530000,18.562152650566098,20.572063002116256
00:00:00.540000,20.82569632605675,19.62474127636159
00:00:00.550000,20.325398978221045,20.139331647463766
00:00:00.560000,16.441937413486535,21.60874235543668
00:00:00.570000,19.515157977741854,21.19452020077465
00:00:00.580000,21.47749499546598,19.983457625207425
00:00:00.590000,21.66114714097305,20.191986894280046
00:00:00.600000,20.431963505063287,18.43635997275573
00:00:00.610000,18.728986764367754,20.411550263841885
00:00:00.620000,18.597365532683078,19.651479835972417
00:00:00.630000,19.566306842366977,19.359164350566832
00:00:00.640000,19.168029507094538,20.433972438628807
00:00:00.650000,19.94172522764754,19.402943690359226
00:00:00.660000,20.889615350796433,19.611258266980723
00:00:00.670000,19.811383902432613,19.71471617656586
