time,sigma1,sigma2,double
00:00:00,19.824696472398227,19.74650615211182,16.98933599870365
00:00:00.010000,17.53023932888393,19.26096108638636,15.982393239617
00:00:00.020000,20.857817773375793,17.149474518806347,17.829489004805957
00:00:00.030000,19.796808726864526,21.696370720524797,17.603712284419743
00:00:00.040000,20.68627139022822,17.492417575718868,18.024409360846313
00:00:00.050000,21.236556321644173,21.98154898350753,18.875948863738248
00:00:00.060000,19.928096771348198,21.701220456626054,18.648633308979736
00:00:00.070000,19.25173588069212,19.170613002039467,18.469103265947997
00:00:00.080000,20.50665968889477,19.627528605500355,17.78379013462173
00:00:00.090000,20.54087568124026,21.08641718997585,17.6649825483652
00:00:00.100000,19.07491694915466,18.97086197948324,19.758477283580195
00:00:00.110000,20.28153883647202,19.874543135391153,18.668620873761544
00:00:00.120000,18.729583786039754,19.36110796269083,19.297372530047646
00:00:00.130000,20.496185702356016,19.18834057529223,19.456376829557538
00:00:00.140000,18.749928092547997,23.015647405970906,18.20467116263174
00:00:00.150000,21.665649270628982,21.568356282682696,17.899767976055212
00:00:00.160000,21.22879652336031,18.20042302067217,19.624278792684994
00:00:00.170000,22.079404623441725,19.494678379682743,17.875586807508988
00:00:00.180000,19.174840817051134,15.132437249467863,19.13264050548535
00:00:00.190000,19.088967239300583,17.421183647863433,18.144232903210334
00:00:00.200000,19.749432839360498,16.77145836860726,17.63712088774388
00:00:00.210000,19.29841618696341,23.08835810469834,19.209265517440507
00:00:00.220000,16.893047349008665,19.474795464969436,17.805359442422056
00:00:00.230000,19.66720285813352,17.792052527166028,19.06947362809491
00:00:00.240000,19.01633544387856,18.856439256850223,17.873638270540745
00:00:00.250000,19.754173486633444,18.98980444008771,17.85311598364469
00:00:00.260000,22.186639432786073,17.704368408328875,19.290005248835328
00:00:00.270000,19.798464818385625,21.66052177872939,18.288980136036923
00:00:00.280000,18.626132164463062,19.052234578779245,17.997716210112316
00:00:00.290000,19.846966712329596,19.51256527108331,17.526669558479412
00:00:00.300000,20.3585702464061,21.34652112377894,18.062310016092436
00:00:00.310000,22.25052501593722,20.327853499675175,18.903743901968575
00:00:00.320000,19.980576247600897,19.758856542935813,18.433355975875166
00:00:00.330000,19.95440926609148,18.84117548320339,17.426544375775087
00:00:00.340000,20.16042977303386,18.29016943094799,17.447434087836537
00:00:00.350000,20.08752698465976,18.186491433347477,17.299005871253346
00:00:00.360000,21.134587354309076,20.07073175893845,17.861012387944474
00:00:00.370000,20.94392224458826,20.008274922212912,17.39793739950617
00:00:00.380000,18.211753383179847,19.073057607988012,18.68016680338417
00:00:00.390000,19.389562404254697,17.926341286356692,16.472562509557573
00:00:00.400000,21.741689416602483,19.299062120945166,18.12760680749698
00:00:00.410000,19.389951379046764,16.47851038157465,18.745064653442807
00:00:00.420000,19.13436882148521,19.520015850641393,17.579484681091127
00:00:00.430000,20.719654868571112,21.455642001200456,18.506793059609574
00:00:00.440000,21.089124542652435,20.239332526344494,17.611046107438924
00:00:00.450000,18.083249569441175,20.21414878608124,18.393381940993738
00:00:00.460000,21.831836570786447,15.593834165126614,18.072729149158324
00:00:00.470000,21.118356607497194,18.870287018316656,19.194761220939043
00:00:00.480000,18.813584672307595,20.18091458044641,18.29608785861435
00:00:00.490000,19.720856275580584,20.472955802105233,17.660462702912653
00:00:00.500000,18.481654676920805,20.035633966607644,17.568706110631027
00:00:00.510000,21.422387129698077,17.116929506492077,19.88656940867833
00:00:00.520000,19.90433738328062,20.223583216209644,17.120681651244997
00:00:00.530000,20.247432575803067,22.432882777969546,18.574084702957748
00:00:00.540000,20.014446446456933,21.16835508007099,17.50992531474181
00:00:00.550000,19.764441492061064,18.607778864539593,17.425023935015144
00:00:00.560000,19.377013151403812,19.64191603495006,19.192172442197112
00:00:00.570000,19.6824375417708,17.832467683855747,18.200624306187635
00:00:00.580000,21.139513798065956,19.110392857106902,17.877959367851155
00:00:00.590000,19.7976128244687,23.051004467041864,16.104283523078998
00:00:00.600000,20.287414813807445,23.89024587129756,17.815965308651915
00:00:00.610000,19.87737838719685,22.49898945549197,20.404841974754092
00:00:00.620000,21.58939429043404,21.627801089730507,18.21467301087231
00:00:00.630000,19.332873595970167,17.728533722472598,18.696248398784025
00:00:00.640000,19.658207742870527,19.30014535555906,18.207170419046196
00:00:00.650000,18.82280305025222,22.23156543616578,17.227258737147178
00:00:00.660000,19.343065533686502,18.654687012821437,18.79124208276379
00:00:00.670000,20.24665973944861,18.589932453098,16.4843327798127
00:00:00.680000,20.60816690583757,15.32064233577928,18.32969271773414
00:00:00.690000,19.372502004958967,21.910452379481065,18.263062460806424
00:00:00.700000,19.71678025694265,17.912248806817807,18.402653173295118
00:00:00.710000,18.874979770288466,20.711337896432674,18.968372389075007
00:00:00.720000,19.76828108663782,23.201086205285918,18.985273544763952
00:00:00.730000,18.23351958953508,17.485813270550732,18.55600646304072
00:00:00.740000,21.08448389125692,18.033924548316012,17.100120957565892
00:00:00.750000,20.557655164716667,19.92839048529377,17.867960068351056
00:00:00.760000,19.73817069169123,17.809103432433012,17.724166107575776
00:00:00.770000,20.151839179155253,18.127807533813918,17.85554542231482
00:00:00.780000,20.074353015638188,20.69980405986857,17.21638977096879
00:00:00.790000,20.151420228500836,19.918944441081578,17.673030109020903
00:00:00.800000,19.181641721172337,19.081693296133775,18.089460492373206
00:00:00.810000,19.78756462902784,18.488590573361872,17.688299888332416
00:00:00.820000,19.93591843371438,21.29019857645609,18.57130572096408
00:00:00.830000,19.98063948772311,22.209050334598874,17.908075807897454
00:00:00.840000,19.934398997334707,19.66996193351727,18.09940490311405
00:00:00.850000,22.102147159917916,19.258325052071292,18.76823006215507
00:00:00.860000,20.926359625626837,21.46000610592787,18.114259697114278
00:00:00.870000,19.814905067136152,21.08567020989871,18.202398432960884
00:00:00.880000,21.98429249960414,21.291957742159106,17.712508570085458
00:00:00.890000,20.050089170585466,20.430119949892077,17.04592678015267
00:00:00.900000,21.25399556643904,22.925271821172448,17.41964591108936
00:00:00.910000,19.445043381330354,20.571543698959818,17.264631460012296
00:00:00.920000,20.35297873745172,20.732092461784646,17.3448018874938
00:00:00.930000,19.760406979418978,20.58157339204727,17.359290399202163
00:00:00.940000,18.909982241809207,18.95609873805362,17.675092853073288
00:00:00.950000,19.17512714682014,21.31950805078514,18.308646736328537
00:00:00.960000,19.768018248999866,19.82377928915916,18.63867240299271
00:00:00.970000,19.84357244449462,19.385679005926832,17.049507070532247
00:00:00.980000,20.386294540722822,19.444599506997754,17.56082183066794
00:00:00.990000,20.687662514643712,19.19895428256843,18.098189783937094
00:00:01,18.31330607258939,20.338189899031338,17.988845118365067
00:00:01.010000,18.40326420463602,18.759657843365307,18.26862558856183
00:00:01.020000,19.585437423724905,21.92300411647437,19.12300189257474
00:00:01.030000,19.74378219090635,23.815855795779548,17.761301517773187
00:00:01.040000,20.01414592333872,21.88924257522913,18.89776557877765
00:00:01.050000,20.71938561793375,24.481957948327263,17.179137054266157
00:00:01.060000,20.82807979860438,20.908892169087274,17.828319793913156
00:00:01.070000,20.218232596692204,20.96752658540295,18.249632501640537
00:00:01.080000,19.033734588061087,20.189393050888793,17.022211560791153
00:00:01.090000,20.456644111585874,18.399945426101908,18.200279850218646
00:00:01.100000,18.579474092173946,19.01678003729594,17.662268640451927
00:00:01.110000,20.26889581373151,15.682434960871644,17.768352689658013
00:00:01.120000,21.63093121463699,23.228977785979335,17.59478745756633
00:00:01.130000,21.62261191479542,18.108978525244982,18.73283832823579
00:00:01.140000,18.26906790412203,18.898490513955437,17.860986635328565
00:00:01.150000,21.944382650991862,20.053044235286112,17.627347393329273
00:00:01.160000,20.05437241095671,19.458501505873706,18.367792423342838
00:00:01.170000,20.408360247641493,21.903469814602268,18.44391194507276
00:00:01.180000,20.112179055114556,18.698552261169393,17.58953921081905
00:00:01.190000,20.776057217965963,20.181245154943326,17.90732755831373
00:00:01.200000,19.569515840485874,21.320200070265,17.43114216240585
00:00:01.210000,19.77108450950422,19.237111641877217,18.699687730462795
00:00:01.220000,20.049174729713435,19.512622674028155,18.091120197914908
00:00:01.230000,20.063557249319693,18.537954298282596,19.531097001453606
00:00:01.240000,19.421269940146026,19.698169268650084,18.39574267208817
00:00:01.250000,20.05572170089536,18.79118371145423,18.253921819317036
00:00:01.260000,20.581288315761494,20.813581224293145,17.303257937247885
00:00:01.270000,18.663822648116806,21.52445262472108,16.978661149103367
00:00:01.280000,20.847783663008027,17.255303541682203,18.884641863460928
00:00:01.290000,21.302365085888177,22.428719681749115,17.574270261546623
00:00:01.300000,20.71262140860888,19.390941771759053,18.071228646596357
00:00:01.310000,21.840609516119898,19.019710862734932,17.90080103409139
00:00:01.320000,20.060204505086183,19.99055504904445,18.257706599994517
00:00:01.330000,21.4557253423411,21.20210569295244,17.893983752320192
00:00:01.340000,21.341677935717808,18.04687109174549,17.74605749837735
00:00:01.350000,20.690288946553615,19.559633546977295,18.065539177226487
00:00:01.360000,18.950663583795325,19.21318719630758,17.93281118863183
00:00:01.370000,21.54233957323558,16.878646625331605,17.755799432313168
00:00:01.380000,20.5263716899599,20.03507712206165,17.818744671968577
00:00:01.390000,20.38335774985557,22.018811198050308,17.485982479892932
00:00:01.400000,20.524114798356454,19.51810605169165,17.560835716655745
00:00:01.410000,20.053075186893718,19.702107902172273,18.621860253883693
00:00:01.420000,20.211576581611382,19.166383554409634,18.34366567668064
00:00:01.430000,22.570500570145317,18.161191335988608,18.37635107045026
00:00:01.440000,19.11438447776083,18.424415537704707,17.796929330748366
00:00:01.450000,18.211706811378594,20.336201319943992,17.80086053509143
00:00:01.460000,21.858357697516247,20.2425579224959,18.417930259995636
00:00:01.470000,19.051160158552413,21.327214685646194,17.50429192158991
00:00:01.480000,20.864460720932477,19.981158208391445,18.960319909036414
00:00:01.490000,21.278532831964093,22.44190745327468,17.52810181880252
00:00:01.500000,20.00584734899363,22.34204616044394,18.88846285782786
00:00:01.510000,19.13501288903025,20.379824191346138,18.840071146604224
00:00:01.520000,18.597783053275272,18.156826138783416,18.94478020983108
00:00:01.530000,21.447719449187893,18.742630397025483,18.649322766783403
00:00:01.540000,19.28558853310965,21.525830923130222,17.58166333160511
00:00:01.550000,19.742233798895356,21.669217937159175,18.004503544197558
00:00:01.560000,19.089722757770158,21.68004670860663,17.63635081875916
00:00:01.570000,19.815124594591897,19.790479055053083,18.157734006917448
00:00:01.580000,22.06495182513591,22.955353111376866,16.858192410135143
00:00:01.590000,19.792897674379546,19.75315981822822,17.152870822676913
00:00:01.600000,18.893384027886775,18.895033454613337,17.75530356237573
00:00:01.610000,19.99342735065396,22.696100436531875,17.9397360916226
00:00:01.620000,19.605095640447836,17.901164901526908,17.833248515225286
00:00:01.630000,19.095702594897062,20.52854741952562,17.852232157923
00:00:01.640000,20.444333415862477,22.319950932348874,19.074103987022287
00:00:01.650000,20.257762861288487,19.987094969088528,16.878661505859377
00:00:01.660000,20.351773488270087,18.55797423982488,17.758107218549828
00:00:01.670000,18.46453971878434,21.81977230614255,18.072929891191585
00:00:01.680000,20.736871909215907,20.11662173658252,18.24716764164866
00:00:01.690000,20.174844014349958,25.145322679959843,18.266474366158665
00:00:01.700000,19.521972980322314,18.591646222207967,18.491114674238943
00:00:01.710000,20.78201812906743,20.357074193713956,17.95317428192207
00:00:01.720000,22.027467278521886,19.51039628643664,17.68385302172389
00:00:01.730000,19.082183942626457,18.986859065778464,18.278531413688263
00:00:01.740000,20.201644160675908,18.241027859403516,17.87039777506976
00:00:01.750000,20.368345249984745,18.927651826875564,17.005828345958058
00:00:01.760000,19.835593293770174,20.10065409317164,18.422264132658963
00:00:01.770000,21.400501335121138,17.02496785982831,18.635355384993858
00:00:01.780000,17.971504392316213,15.601389709441337,17.14577182068962
00:00:01.790000,22.60601257318066,21.420402140810303,18.45318459515502
00:00:01.800000,20.829974415949742,18.354948305948678,19.22649518034605
00:00:01.810000,18.944255929136922,19.25106681532026,17.667161073558795
00:00:01.820000,17.778908097961754,20.103782612205077,16.90209623653367
00:00:01.830000,19.359705282781952,19.642188312146544,18.757623165265347
00:00:01.840000,18.73096094120023,18.67990980631005,17.78645515839301
00:00:01.850000,18.687130203991757,19.2268477822634,17.48111518744053
00:00:01.860000,20.68464302773437,18.832027390621366,17.07669528774608
00:00:01.870000,19.240381277397884,20.62494452698597,17.032449989124537
00:00:01.880000,18.925962493542343,17.424593922747842,18.364530120350913
00:00:01.890000,19.809046203646517,24.879317461830222,18.217232554664548
00:00:01.900000,20.2705799900419,18.08923579147511,17.94103144840333
00:00:01.910000,19.880242966839607,20.345663543722406,17.7221682636262
00:00:01.920000,20.171233823583044,20.308439181378635,17.498145285903327
00:00:01.930000,20.11268975638176,21.575496369655117,17.220217105229917
00:00:01.940000,20.58791954547161,23.370273922703927,17.879246167000783
00:00:01.950000,17.48493435124454,21.02545031416877,18.041743521975448
00:00:01.960000,20.653527049576827,23.264042872547268,18.9894836445473
00:00:01.970000,19.822542102887088,21.39769840003508,18.576498156421053
00:00:01.980000,20.26877229107135,17.778494544829684,19.160583709398196
00:00:01.990000,20.914925313111155,20.79977179850774,17.98364044980085
00:00:02,20.165262295456834,18.851499964524084,17.84728712053127
00:00:02.010000,20.51734477335782,18.480149692940476,18.146619073527614
00:00:02.020000,19.667735671179848,19.301598217667163,18.24080327696929
00:00:02.030000,20.289891716799445,20.30818748939454,18.70620144431883
00:00:02.040000,20.55421657236368,22.845107039408944,18.024354733807193
00:00:02.050000,19.720189010249594,20.795211028354572,18.143731119279565
00:00:02.060000,20.717235360299007,20.843398609516097,17.426858390424112
00:00:02.070000,19.898601859438557,17.69529693080864,18.611366039969674
00:00:02.080000,19.57117134169374,18.588086568072963,18.624103031776094
00:00:02.090000,17.685507267500284,17.429367624771384,17.91478294789013
00:00:02.100000,19.831186082528454,22.536673580482113,18.35829663488868
00:00:02.110000,18.21374534168181,22.119861056946036,19.089668561309367
00:00:02.120000,22.351765214164754,21.662043120712287,17.81493169560288
00:00:02.130000,19.75859774408959,17.48193496096473,17.928641710981807
00:00:02.140000,21.459002820821528,19.849242165800902,18.399878326664936
00:00:02.150000,19.817757388277,20.85955314443269,18.475211786447527
00:00:02.160000,21.90306355880446,18.913607161767406,17.822720259083017
00:00:02.170000,20.755521752124597,19.661567312270627,17.156202141054727
00:00:02.180000,20.382096493296952,22.12799090057528,18.64995000121838
00:00:02.190000,21.0500852879331,18.159434720685322,18.46552884178865
00:00:02.200000,19.165818638295413,18.70387372052569,16.400914518435172
00:00:02.210000,21.28390141066368,20.807268173728964,18.26422754424784
00:00:02.220000,21.07231566603825,19.10337885581406,17.49446636168793
00:00:02.230000,21.14861772143319,19.824987884010607,18.508511346577663
00:00:02.240000,19.321366093596435,19.42359634467639,16.691472503118824
00:00:02.250000,20.395050737012227,20.183090635606316,18.150064371495056
